Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Chris Paul28LAC,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,906.5
Karl-Anthony Towns24MIN,26.5,10.8,4.4,0.9,1.2,0.508,0.412,0.796,898.35
Vince Carter23TOR,25.7,5.8,3.9,1.3,1.1,0.465,0.403,0.791,891.54
John Stockton*26UTA,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,886.23
Brad Daugherty27CLE,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,833.8
Sam Cassell30MIL,18.6,3.7,9,1.3,0.1,0.466,0.289,0.876,755.38
Donovan Mitchell24UTA,26.4,4.4,5.2,1,0.3,0.438,0.386,0.845,711.42
Nikola Vučević30CHI,21.5,11.5,3.9,0.9,0.8,0.471,0.388,0.87,710.68
Damon Stoudamire24TOT,17.3,4.2,8.2,1.6,0.1,0.411,0.299,0.829,672
Chauncey Billups32DET,12.5,5,7.5,1.5,0.5,0.333,0.286,0.9,612.5
Artis Gilmore*34SAS,15.3,10.3,1.1,0.6,2.1,0.631,0,0.718,597.84
Lionel Simmons25SAC,15.1,7.5,4.1,1.4,0.7,0.438,0.353,0.777,532.8
Norman Powell27TOT,18.6,3.1,1.9,1.2,0.3,0.477,0.411,0.871,518.4
Markieff Morris25PHO,15.3,6.2,2.3,1.2,0.5,0.465,0.318,0.763,497.7
Johnny Davis26IND,17,2.2,4.2,0.9,0.1,0.467,0.185,0.799,494
Zydrunas Ilgauskas33CLE,12.9,7.5,1,0.4,1.3,0.472,0.385,0.799,489.6
Saddiq Bey22DET,16.1,5.4,2.8,0.9,0.2,0.396,0.346,0.827,462
Jeff Green27BOS,16.9,4.6,1.7,0.7,0.6,0.412,0.341,0.795,448.02
Wesley Matthews30DAL,13.5,3.5,2.9,1.1,0.2,0.393,0.363,0.816,406.98
Drew Gooden21TOT,12.5,6.5,1.2,0.8,0.5,0.457,0.292,0.712,402
Otis Smith24TOT,11.7,3.4,2.2,1.3,0.6,0.491,0.317,0.777,395.6
Jordan Crawford24WAS,13.2,3.1,3.7,0.6,0.1,0.415,0.345,0.821,385.14
Roy Hinson26PHI,11.6,5.8,0.9,0.8,2.3,0.452,0,0.718,378.3
Caris LeVert23BRK,12.1,3.7,4.2,1.2,0.3,0.435,0.347,0.711,373.46
Jarred Vanderbilt23TOT,7.9,7.5,2.4,1.1,0.3,0.548,0.322,0.691,363.91
Lonzo Ball21LAL,9.9,5.3,5.4,1.5,0.4,0.406,0.329,0.417,354.51
Patrick Ewing*38SEA,9.6,7.4,1.2,0.7,1.2,0.43,0,0.685,344.43
Ron Harper32CHI,7.4,2.7,2.6,1.3,0.4,0.467,0.269,0.705,339.84
Kelvin Cato29HOU,6.1,6.8,1,0.8,1.4,0.447,0,0.676,333.96
Mikki Moore24DET,7.9,3.9,0.6,0.3,1.1,0.621,0,0.794,329.28
Muggsy Bogues33GSW,5.8,2.2,5.5,1.1,0.1,0.437,0.25,0.894,323.49
Muggsy Bogues33TOT,5.7,2.2,5.4,1.1,0,0.437,0.25,0.897,318.68
Justin Holiday29TOT,10.5,3.9,1.8,1.5,0.4,0.386,0.348,0.896,318
Andrew Bynum26TOT,8.7,5.6,1.1,0.2,1.1,0.418,0,0.755,300.96
Marcus Smart20BOS,7.8,3.3,3.1,1.5,0.3,0.367,0.335,0.646,297
Miloš Teodosić30LAC,9.5,2.8,4.6,0.5,0.1,0.419,0.379,0.848,292.32
Ron Brewer27CLE,11.4,1.8,1.3,1,0.3,0.4,0,0.863,289.44
Jason Caffey27MIL,7.1,5,0.8,0.5,0.4,0.488,0,0.673,286.33
Steve Colter25TOT,7.1,2.5,3.8,0.9,0.2,0.46,0.3,0.789,285.44
Reggie Slater26TOR,7.8,3.7,0.8,0.3,0.2,0.55,0,0.52,277.68
Bismack Biyombo20CHA,4.8,7.3,0.4,0.4,1.8,0.451,0,0.521,275.73
Justin Holiday29MEM,9.5,3.5,1.4,1.2,0.3,0.389,0.333,0.9,258.99
Dario Šarić26PHO,8.7,3.8,1.3,0.6,0.1,0.447,0.348,0.848,248.82
Blake Griffin32BRK,6.4,4.1,1.9,0.5,0.3,0.425,0.262,0.724,234.27
Danny Ferry32CLE,7,2,1.1,0.5,0.2,0.476,0.392,0.879,233.2
James Robinson25POR,8.5,2.1,2,0.4,0.2,0.399,0.359,0.659,226.84
David Wingate26SAS,6.8,2.5,2.7,1.1,0.2,0.448,0,0.777,223.72
Rich Kelley30UTA,5.2,6.5,2.1,0.7,0.4,0.5,0,0.765,216.31
Ben Coleman26PHI,6.9,4.1,0.5,0.3,0.6,0.516,0,0.752,215.6
Ramon Sessions28TOT,6.3,2.3,2.8,0.5,0,0.374,0.317,0.769,206.46
Charlie Scott*31DEN,9.3,2.4,3.6,0.7,0.3,0.401,0.182,0.72,199.8
Ekpe Udoh30UTA,2.6,2.4,0.8,0.7,1.2,0.5,0,0.75,196.08
Vladimir Radmanović28LAL,5.9,2.5,0.8,0.6,0.2,0.444,0.441,0.852,194.88
Anthony Johnson24ATL,5,1.5,2.2,0.7,0.1,0.404,0.263,0.695,191.86
Tim Hardaway*36IND,4.9,1.5,2.4,0.9,0,0.367,0.355,0.5,186.69
John Shasky24MIA,5.5,3.6,0.3,0.2,0.2,0.488,0,0.689,184.15
Jaxson Hayes22NOP,5,2.8,0.7,0.4,0.4,0.551,0.103,0.699,178.1
Shawnelle Scott29DEN,3.9,4.9,0.4,0.1,0.3,0.493,0,0.4,174
